2026-01-29 19:08:33 [INFO] app: Logging configuration initialized
2026-01-29 19:08:43 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:08:43 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:08:44 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:08:44 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:08:45 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 19:08:45 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:08:45 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 19:08:45 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:08:46 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 19:08:46 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:08:46 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 19:08:46 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:08:46 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:08:46 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:08:48 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 19:08:48 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:08:48 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 19:08:48 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:09:16 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:09:16 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:09:17 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:09:17 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:09:20 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:09:20 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:09:50 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:09:50 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:09:51 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:09:51 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:09:53 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:09:53 [WARNING] app.api.deps: No Authorization header found.
