2026-01-29 18:52:47 [INFO] app: Logging configuration initialized
2026-01-29 18:53:02 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 18:53:02 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:02 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:53:02 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:03 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 18:53:03 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:03 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:53:03 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:03 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:53:03 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:04 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 18:53:04 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:04 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:53:04 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:04 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:53:04 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:04 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 18:53:04 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:04 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:53:04 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:05 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 18:53:05 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:53:05 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:53:05 [WARNING] app.api.deps: No Authorization header found.
