2026-01-29 19:43:03 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:43:04 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:43:04 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:43:06 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:43:06 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:43:36 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:43:36 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:43:37 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:43:37 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:43:39 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:43:39 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:43:57 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:43:57 [WARNING] app.api.deps: No Authorization header found.
