2026-01-29 18:45:18 [INFO] app: Logging configuration initialized
2026-01-29 18:45:19 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:45:19 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:20 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:45:20 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:20 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:20 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:20 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:20 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:21 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:45:21 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:21 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:21 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:21 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:21 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:22 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:45:22 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:22 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:22 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:22 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:22 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:23 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:45:23 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:23 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:23 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:23 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:23 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:24 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:45:24 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:24 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:24 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:24 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:24 [WARNING] app.api.deps: No Authorization header found.
