2026-01-31 00:56:32 [INFO] app: Logging configuration initialized
2026-01-31 00:58:51 [INFO] app.services.analytics: MTD Financial Metrics for org 4384a92c-df41-444b-b34d-6c80e7820486: Revenue: 125000, Expenses: 5E+4, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:58:51 [INFO] app.services.analytics: YTD Financial Metrics for org 4384a92c-df41-444b-b34d-6c80e7820486: Revenue: 125000, Expenses: 5E+4, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:58:51 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:58:51 [INFO] app.services.analytics: YTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:58:51 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:58:51 [INFO] app.services.analytics: YTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:58:52 [INFO] app.services.analytics: MTD Financial Metrics for org 4384a92c-df41-444b-b34d-6c80e7820486: Revenue: 125000, Expenses: 5E+4, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:58:52 [INFO] app.services.analytics: YTD Financial Metrics for org 4384a92c-df41-444b-b34d-6c80e7820486: Revenue: 125000, Expenses: 5E+4, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:59:41 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:59:41 [INFO] app.services.analytics: YTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:59:49 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 00:59:49 [INFO] app.services.analytics: YTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:00:20 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:00:20 [INFO] app.services.analytics: YTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:00:25 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:00:25 [INFO] app.services.analytics: YTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:02:56 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:02:56 [INFO] app.services.analytics: YTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:02:57 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:02:57 [INFO] app.services.analytics: YTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:04:05 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:04:05 [INFO] app.services.analytics: YTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:04:06 [INFO] app.services.analytics: MTD Financial Metrics for org 4384a92c-df41-444b-b34d-6c80e7820486: Revenue: 125000, Expenses: 5E+4, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:04:06 [INFO] app.services.analytics: YTD Financial Metrics for org 4384a92c-df41-444b-b34d-6c80e7820486: Revenue: 125000, Expenses: 5E+4, Date range: 2026-01-01 to 2026-01-31
2026-01-31 01:05:18 [INFO] app.services.analytics: MTD Financial Metrics for org b5529827-b215-4bfa-9a4f-d03d521ba1ea: Revenue: 0, Expenses: 0, Date range: 2026-01-01 to 2026-01-31
