2026-01-29 19:12:24 [INFO] app: Logging configuration initialized
2026-01-29 19:14:58 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/organizations/me
2026-01-29 19:14:58 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:15:57 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/organizations/me
2026-01-29 19:15:57 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:27:11 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:27:11 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:27:12 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:27:12 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:27:13 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:27:13 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:27:14 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:27:14 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:27:16 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:27:16 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:27:47 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:27:47 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:27:48 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:27:48 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:27:50 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:27:50 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:28:20 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:28:20 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:28:21 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:28:21 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 19:28:23 [ERROR] app.api.deps: Missing credentials. URL: http://127.0.0.1:8000/api/v1/notifications/
2026-01-29 19:28:23 [WARNING] app.api.deps: No Authorization header found.
