2026-01-29 18:44:55 [INFO] app: Logging configuration initialized
2026-01-29 18:44:56 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:44:56 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:44:58 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:44:58 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:44:59 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:44:59 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:44:59 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:44:59 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:00 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:45:00 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:00 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:00 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:01 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:45:01 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:01 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:01 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:02 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/projects/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:02 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:02 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/notifications/
2026-01-29 18:45:02 [WARNING] app.api.deps: No Authorization header found.
2026-01-29 18:45:02 [ERROR] app.api.deps: Missing credentials. URL: http://localhost:8000/api/v1/transactions/?organization_id=4384a92c-df41-444b-b34d-6c80e7820486
2026-01-29 18:45:02 [WARNING] app.api.deps: No Authorization header found.
